YUMMY,GREASY,CHEAP,HEALTHY,DISGUSTING,AGE,GENDER,LIKING,VISIT_FREQUENCY
YES,YES,NO,YES,YES,42,Female,-5,Monthly
NO,YES,YES,NO,YES,53,Male,2,Weekly
YES,YES,NO,YES,NO,25,Female,1,Daily
NO,NO,NO,NO,YES,47,Female,2,Rarely
YES,NO,NO,YES,YES,41,Female,2,Monthly
NO,YES,NO,NO,NO,49,Female,-5,Daily
YES,YES,YES,YES,YES,52,Male,2,Weekly
NO,NO,YES,NO,NO,47,Male,-5,Weekly
YES,YES,NO,NO,NO,46,Male,5,Daily
NO,YES,NO,NO,NO,51,Female,3,Monthly
NO,NO,NO,YES,NO,47,Female,-2,Daily
NO,NO,YES,NO,NO,46,Male,2,Daily
NO,YES,NO,YES,YES,48,Male,3,Weekly
NO,YES,NO,YES,NO,35,Male,-1,Daily
YES,NO,YES,YES,YES,23,Male,1,Weekly
YES,NO,NO,YES,NO,29,Male,-2,Daily
NO,YES,YES,YES,YES,42,Male,5,Daily
NO,NO,NO,NO,YES,20,Male,-2,Rarely
NO,NO,YES,NO,NO,63,Male,-1,Rarely
YES,YES,NO,YES,NO,34,Female,5,Weekly
YES,YES,NO,NO,YES,57,Female,-1,Daily
YES,NO,YES,NO,YES,33,Male,-4,Weekly
YES,NO,YES,YES,YES,53,Female,4,Weekly
YES,NO,NO,YES,NO,62,Female,-3,Weekly
YES,NO,NO,NO,YES,52,Female,3,Weekly
YES,YES,NO,NO,YES,19,Female,-1,Rarely
YES,YES,NO,NO,YES,52,Female,-4,Monthly
YES,YES,YES,NO,NO,63,Male,4,Weekly
YES,NO,NO,NO,YES,26,Female,-5,Daily
NO,NO,YES,NO,YES,63,Male,-3,Daily
NO,YES,YES,NO,NO,29,Female,3,Rarely
NO,NO,YES,NO,YES,31,Female,0,Monthly
NO,NO,NO,YES,YES,60,Male,-5,Daily
NO,NO,NO,NO,NO,28,Female,1,Monthly
NO,YES,YES,YES,YES,59,Male,0,Rarely
NO,YES,YES,NO,YES,40,Female,2,Monthly
YES,NO,NO,YES,YES,50,Female,-1,Rarely
YES,YES,YES,YES,YES,32,Male,-4,Weekly
NO,YES,NO,YES,YES,30,Male,1,Weekly
NO,NO,YES,YES,YES,52,Male,-1,Rarely
YES,NO,NO,YES,NO,61,Male,-1,Monthly
NO,YES,YES,NO,YES,23,Male,-1,Weekly
YES,NO,YES,NO,YES,21,Female,-1,Daily
YES,YES,YES,NO,YES,42,Female,2,Rarely
NO,YES,YES,NO,YES,53,Male,-2,Weekly
YES,NO,YES,YES,NO,44,Male,-5,Weekly
YES,YES,NO,NO,NO,50,Female,-2,Daily
YES,YES,YES,NO,YES,51,Male,2,Monthly
YES,NO,YES,YES,YES,63,Male,-1,Monthly
YES,NO,YES,NO,NO,35,Female,1,Monthly
NO,YES,NO,NO,NO,57,Male,2,Rarely
NO,YES,YES,NO,YES,42,Female,2,Daily
YES,YES,NO,YES,YES,49,Male,1,Rarely
YES,YES,YES,NO,NO,29,Female,-2,Rarely
YES,YES,YES,YES,YES,64,Female,-4,Daily
YES,NO,YES,YES,YES,39,Male,-4,Rarely
NO,NO,NO,NO,YES,36,Female,4,Weekly
NO,YES,YES,NO,NO,18,Female,4,Monthly
YES,NO,YES,NO,NO,59,Male,-5,Rarely
NO,YES,YES,YES,YES,33,Female,3,Daily
YES,NO,NO,NO,NO,51,Female,-1,Rarely
NO,YES,YES,YES,NO,56,Male,5,Weekly
NO,YES,NO,NO,YES,28,Male,4,Daily
NO,YES,YES,YES,YES,28,Female,5,Daily
YES,NO,YES,NO,YES,22,Male,5,Daily
YES,YES,YES,NO,YES,31,Female,-1,Rarely
YES,NO,NO,YES,NO,26,Male,-4,Rarely
YES,NO,NO,YES,YES,56,Female,5,Weekly
NO,YES,NO,YES,NO,29,Male,-5,Weekly
YES,NO,NO,YES,YES,62,Female,3,Weekly
YES,YES,YES,NO,NO,24,Female,1,Monthly
YES,NO,YES,NO,YES,50,Female,-2,Daily
YES,YES,YES,YES,YES,38,Male,2,Rarely
YES,NO,YES,NO,NO,49,Male,0,Rarely
NO,YES,NO,YES,YES,40,Male,3,Weekly
YES,YES,NO,NO,NO,41,Female,-4,Weekly
YES,YES,YES,NO,YES,26,Male,-2,Monthly
YES,YES,YES,YES,NO,33,Female,-3,Monthly
YES,NO,YES,YES,NO,37,Female,3,Weekly
NO,NO,YES,NO,NO,49,Male,5,Rarely
NO,NO,YES,NO,YES,61,Male,-4,Weekly
NO,NO,YES,YES,YES,40,Male,1,Rarely
YES,NO,YES,NO,YES,56,Male,3,Rarely
YES,NO,YES,NO,YES,45,Male,-2,Monthly
YES,YES,NO,NO,YES,52,Male,-4,Daily
NO,NO,YES,NO,YES,52,Male,-3,Rarely
NO,NO,NO,YES,YES,43,Male,-5,Rarely
NO,YES,NO,NO,NO,58,Male,-1,Daily
YES,YES,YES,NO,NO,63,Female,3,Daily
NO,NO,NO,NO,NO,64,Male,1,Rarely
YES,YES,YES,YES,NO,41,Male,-5,Monthly
NO,YES,YES,YES,YES,43,Female,4,Monthly
NO,YES,NO,YES,NO,59,Female,-2,Daily
NO,YES,NO,NO,NO,57,Male,-4,Rarely
YES,YES,YES,NO,YES,20,Female,-2,Weekly
YES,NO,YES,NO,YES,19,Female,-5,Weekly
NO,YES,NO,NO,YES,30,Female,2,Monthly
NO,NO,YES,NO,NO,64,Male,0,Monthly
YES,NO,NO,YES,NO,22,Male,-1,Monthly
NO,NO,YES,YES,NO,26,Female,5,Weekly
YES,YES,YES,NO,YES,60,Male,0,Weekly
NO,YES,NO,YES,YES,36,Male,-5,Weekly
YES,NO,YES,NO,YES,50,Female,1,Daily
NO,YES,NO,NO,NO,33,Female,-3,Daily
YES,YES,YES,NO,YES,26,Female,3,Monthly
NO,NO,NO,YES,YES,21,Female,-3,Rarely
YES,NO,YES,NO,YES,55,Female,2,Weekly
NO,NO,NO,YES,NO,52,Male,0,Rarely
NO,NO,NO,NO,YES,39,Male,2,Monthly
YES,YES,NO,YES,NO,55,Male,1,Rarely
NO,NO,NO,YES,NO,42,Male,3,Monthly
YES,NO,YES,YES,YES,20,Male,-1,Daily
YES,NO,YES,YES,NO,42,Female,0,Daily
YES,NO,NO,NO,YES,63,Male,2,Daily
YES,YES,YES,YES,YES,40,Female,5,Weekly
YES,YES,NO,YES,NO,22,Female,-1,Monthly
NO,YES,YES,YES,NO,22,Male,1,Monthly
NO,YES,NO,YES,NO,22,Male,-2,Rarely
